circuitId,circuitName,locality,country,lat,long,url
albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
portimao,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,http://en.wikipedia.org/wiki/Algarve_International_Circuit
mugello,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,http://en.wikipedia.org/wiki/Mugello_Circuit
interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,http://en.wikipedia.org/wiki/Baku_City_Circuit
buddh,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,http://en.wikipedia.org/wiki/Buddh_International_Circuit
catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,http://en.wikipedia.org/wiki/Circuit_de_Monaco
spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,http://en.wikipedia.org/wiki/Circuit_Zandvoort
ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,http://en.wikipedia.org/wiki/Hungaroring
istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,http://en.wikipedia.org/wiki/Istanbul_Park
jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit
yeongam,Korean International Circuit,Yeongam County,Korea,34.7333,126.417,http://en.wikipedia.org/wiki/Korean_International_Circuit
losail,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,http://en.wikipedia.org/wiki/Losail_International_Circuit
marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,http://en.wikipedia.org/wiki/Miami_International_Autodrome
nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,http://en.wikipedia.org/wiki/N%C3%BCrburgring
red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,http://en.wikipedia.org/wiki/Red_Bull_Ring
sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,http://en.wikipedia.org/wiki/Sepang_International_Circuit
shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,http://en.wikipedia.org/wiki/Silverstone_Circuit
sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,http://en.wikipedia.org/wiki/Sochi_Autodrom
suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,http://en.wikipedia.org/wiki/Suzuka_Circuit
valencia,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,http://en.wikipedia.org/wiki/Valencia_Street_Circuit
yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
