circuitId,circuit_img,country,country_url
albert_park,https://cdn-8.motorsport.com/images/mgl/6D1kveD0/s8/australian-gp-map-1.jpg,Australia,https://cdn.britannica.com/78/6078-004-77AF7322/Flag-Australia.jpg
americas,https://media.formula1.com/image/upload/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/USA_Circuit.png.transform/9col/image.png,USA,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
bahrain,https://media.formula1.com/image/upload/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Bahrain_Circuit.png.transform/9col/image.png,Bahrain,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg
baku,https://media.formula1.com/image/upload/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Baku_Circuit.png,Azerbaijan,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg
buddh,https://www.racingcircuits.info/assets/components/phpthumbof/cache/BudhhGP.0a90be2bc86dc13f81e5d46140603284.png,India,https://cdn.britannica.com/97/1597-004-05816F4E/Flag-India.jpg
catalunya,https://upload.wikimedia.org/wikipedia/commons/8/87/Circuit_de_Catalunya_moto_2021.svg,Spain,https://cdn.britannica.com/36/4336-004-6BD81071/Flag-Spain.jpg
hockenheimring,https://www.f1-fansite.com/wp-content/uploads/2018/07/hockheimring-2018-layout.jpg,Germany,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/1200px-Flag_of_Germany.svg.png
hungaroring,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Hungaroring.svg/1200px-Hungaroring.svg.png,Hungary,https://en.wikipedia.org/wiki/Flag_of_Hungary#/media/File:Flag_of_Hungary.svg
imola,https://media.formula1.com/image/upload/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Emilia_Romagna_Circuit.png.transform/9col/image.png,Italy,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/255px-Flag_of_Italy.svg.png
interlagos,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace_%28AKA_Interlagos%29_track_map.svg/1200px-Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace_%28AKA_Interlagos%29_track_map.svg.png,Brazil,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/640px-Flag_of_Brazil.svg.png
istanbul,https://www.racefans.net/wp-content/uploads/2020/11/08-Istanbul-on-white-01-scaled.jpg,Turkey,https://en.wikipedia.org/wiki/Flag_of_Turkey#/media/File:Flag_of_Turkey.svg
jeddah,https://media.formula1.com/image/upload/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Saudi_Arabia_Circuit.png.transform/9col/image.png,Saudi Arabia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/1200px-Flag_of_Saudi_Arabia.svg.png
losail,https://media.formula1.com/image/upload/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Qatar_Circuit.png.transform/9col/image.png,Qatar,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_Qatar_%283-2%29.svg/2560px-Flag_of_Qatar_%283-2%29.svg.png
marina_bay,https://upload.wikimedia.org/wikipedia/commons/1/17/Planned_2023_Marina_Bay_Street_Circuit_layout.png,Singapore,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Singapore.svg
miami,https://media.formula1.com/image/upload/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Miami_Circuit.png.transform/9col/image.png,USA,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
monaco,https://www.google.com/maps/d/thumbnail?mid=11Y2vufmAUYWOLo3LJoRXyTh6bgo&hl=en_US,Monaco,https://cdn.britannica.com/50/2750-050-688E6E49/Flag-Monaco.jpg
monza,https://media.formula1.com/image/upload/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Italy_Circuit.png,Italy,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/255px-Flag_of_Italy.svg.png
mugello,https://upload.wikimedia.org/wikipedia/commons/3/38/Mugello_Racing_Circuit_track_map_15_turns.svg,Italy,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/255px-Flag_of_Italy.svg.png
nurburgring,https://www.racefans.net/wp-content/uploads/2020/10/07-Nurburgring-on-white-01.jpg,Germany,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/1200px-Flag_of_Germany.svg.png
portimao,https://media.formula1.com/image/upload/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Portugal_Circuit.png.transform/9col/image.png,Portugal,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/255px-Flag_of_Portugal.svg.png
red_bull_ring,https://media.formula1.com/image/upload/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Austria_Circuit.png,Austria,https://cdn.britannica.com/73/6073-004-B0B9EBEE/Flag-Austria.jpg
ricard,https://media.formula1.com/image/upload/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/France_Circuit.png,France,https://cdn.britannica.com/82/682-004-F0B47FCB/Flag-France.jpg
rodriguez,https://media.formula1.com/image/upload/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Mexico_Circuit.png,Mexico,https://cdn.britannica.com/73/2573-004-29818847/Flag-Mexico.jpg
sepang,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Sepang.svg/1200px-Sepang.svg.png,Malaysia,https://cdn.britannica.com/31/4031-004-82B0F3A9/Flag-Malaysia.jpg
shanghai,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Shanghai_International_Racing_Circuit_track_map.svg/1200px-Shanghai_International_Racing_Circuit_track_map.svg.png,China,https://cdn.britannica.com/90/7490-004-BAD4AA72/Flag-China.jpg
silverstone,https://www.racingcircuits.info/assets/images/maps/Europe/United%20Kingdom/Silverstone/Silverstone-GP-2021.png,UK,https://cdn.britannica.com/25/4825-004-F1975B92/Flag-United-Kingdom.jpg
sochi,https://media.formula1.com/image/upload/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Russia_Circuit.png,Russia,https://cdn.britannica.com/42/3842-004-F47B77BC/Flag-Russia.jpg
spa,https://www.racingcircuits.info/assets/images/maps/Europe/Belgium/Spa/Spa-Francorchamps-24H-2022.png,Belgium,https://cdn.britannica.com/08/6408-004-405E272F/Flag-Belgium.jpg
suzuka,https://upload.wikimedia.org/wikipedia/commons/e/ec/Suzuka_circuit_map--2005.svg,Japan,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/1200px-Flag_of_Japan.svg.png
valencia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Circuit_Valensia_street.svg/1200px-Circuit_Valensia_street.svg.png,Spain,https://cdn.britannica.com/36/4336-004-6BD81071/Flag-Spain.jpg
villeneuve,https://upload.wikimedia.org/wikipedia/commons/f/f9/%C3%8Ele_Notre-Dame_%28Circuit_Gilles_Villeneuve%29.svg,Canada,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Canada_%28Pantone%29.svg
yas_marina,https://www.racingcircuits.info/assets/images/maps/Middle%20East/UAE/Yas%20Marina/Yas-Marina-GP--2021.png,UAE,https://commons.wikimedia.org/wiki/File:Flag_of_the_United_Arab_Emirates.svg
yeongam,https://www.racingcircuits.info/assets/images/maps/Middle%20East/UAE/Yas%20Marina/Yas-Marina-GP--2021.png,Korea,https://en.wikipedia.org/wiki/Flag_of_South_Korea#/media/File:Flag_of_South_Korea.svg
zandvoort,https://media.formula1.com/image/upload/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Netherlands_Circuit.png,Netherlands,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg
