nationality,url_nationality
British,https://cdn.britannica.com/25/4825-004-F1975B92/Flag-United-Kingdom.jpg
Thai,https://cdn.britannica.com/38/4038-004-111388C2/Flag-Thailand.jpg
Spanish,https://cdn.britannica.com/36/4336-004-6BD81071/Flag-Spain.jpg
Belgian,https://cdn.britannica.com/08/6408-004-405E272F/Flag-Belgium.jpg
Brazilian,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/640px-Flag_of_Brazil.svg.png
Finnish,https://cdn.britannica.com/79/579-004-0EA4217C/Flag-Finland.jpg
New Zealander,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/800px-Flag_of_New_Zealand.svg.png
Swiss,https://cdn.britannica.com/43/4543-004-C0D5C6F4/Flag-Switzerland.jpg
Indian,https://cdn.britannica.com/97/1597-004-05816F4E/Flag-India.jpg
Dutch,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg
Swedish,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/1200px-Flag_of_Sweden.svg.png
French,https://cdn.britannica.com/82/682-004-F0B47FCB/Flag-France.jpg
Italian,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/255px-Flag_of_Italy.svg.png
German,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/1200px-Flag_of_Germany.svg.png
Mexican,https://cdn.britannica.com/73/2573-004-29818847/Flag-Mexico.jpg
Indonesian,https://cdn.britannica.com/48/1648-004-A33B72D8/Flag-Indonesia.jpg
Danish,https://cdn.britannica.com/07/8007-004-8CF0B1A9/Flag-Denmark.jpg
Austrian,https://cdn.britannica.com/73/6073-004-B0B9EBEE/Flag-Austria.jpg
Japanese,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/1200px-Flag_of_Japan.svg.png
Polish,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Flag_of_Poland.svg/1200px-Flag_of_Poland.svg.png
Russian,https://cdn.britannica.com/42/3842-004-F47B77BC/Flag-Russia.jpg
Canadian,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Canada_%28Pantone%29.svg
Monegasque,https://cdn.britannica.com/50/2750-050-688E6E49/Flag-Monaco.jpg
Venezuelan,https://cdn.britannica.com/04/4904-004-EBEFDE35/Flag-Venezuela.jpg
Australian,https://cdn.britannica.com/78/6078-004-77AF7322/Flag-Australia.jpg
American,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
Chinese,https://cdn.britannica.com/90/7490-004-BAD4AA72/Flag-China.jpg
